Model Name,criterion,max_depth,Accuracy
DecisionTreeClassifier,gini,20,0.5420754305646391
,gini,25,0.5721604534554174
,gini,30,0.591290603880532
,gini,35,0.6109657728362764
,gini,40,0.6248092435142795
,gini,45,0.6381621975147155
,gini,50,0.643612382821016
,gini,55,0.645247438412906
,gini,60,0.6499890996293874
,gini,65,0.6487355570089383
,gini,70,0.6476455199476782
,gini,75,0.6502071070416394
,entropy,20,0.5500872029649008
,entropy,25,0.5836603444517113
,entropy,30,0.6044800523217789
,entropy,35,0.6256267713102246
,entropy,40,0.6378351863963375
,entropy,45,0.6370721604534554
,entropy,50,0.645465445825158
,entropy,55,0.6486265533028123
,entropy,60,0.6506431218661435
,entropy,65,0.6506431218661435
,entropy,70,0.6535862219315457
,entropy,75,0.6540767386091128
Accuracy,Accuracy With Tolerance,Precision,Recall,F1
0.7319093286835222,0.8602877070619006,0.6820362753364305,0.6915059486962812,0.6863243846152282
