Model Name,C,penalty,solver,Accuracy
LogisticRegression,0.01,l1,newton-cg,
,0.01,l1,sag,
,0.01,l1,saga,0.4393394375408764
,0.01,l1,lbfgs,
,0.01,l2,newton-cg,0.4758011772400262
,0.01,l2,sag,0.4758011772400262
,0.01,l2,saga,0.4758011772400262
,0.01,l2,lbfgs,0.4758011772400262
,0.21544346900318834,l1,newton-cg,
,0.21544346900318834,l1,sag,
,0.21544346900318834,l1,saga,0.5106823632003488
,0.21544346900318834,l1,lbfgs,
,0.21544346900318834,l2,newton-cg,0.5153150207107041
,0.21544346900318834,l2,sag,0.5153150207107041
,0.21544346900318834,l2,saga,0.5153150207107041
,0.21544346900318834,l2,lbfgs,0.5153150207107041
,4.6415888336127775,l1,newton-cg,
,4.6415888336127775,l1,sag,
,4.6415888336127775,l1,saga,0.5163505559189012
,4.6415888336127775,l1,lbfgs,
,4.6415888336127775,l2,newton-cg,0.5156965336821452
,4.6415888336127775,l2,sag,0.5155875299760192
,4.6415888336127775,l2,saga,0.5156965336821452
,4.6415888336127775,l2,lbfgs,0.5160780466535863
,100.0,l1,newton-cg,
,100.0,l1,sag,
,100.0,l1,saga,0.5150970132984521
,100.0,l1,lbfgs,
,100.0,l2,newton-cg,0.5146064966208851
,100.0,l2,sag,0.5146064966208851
,100.0,l2,saga,0.5146064966208851
,100.0,l2,lbfgs,0.5153150207107041
Accuracy,Accuracy With Tolerance,Precision,Recall,F1
0.5231037489102005,0.768308631211857,0.397059290470629,0.3541516983334035,0.33871750927445093
