Model Name,criterion,max_depth,n_estimators,Accuracy
RandomForestClassifier,gini,20,50,0.6013189448441246
,gini,20,100,0.6060606060606061
,gini,20,200,0.6074776542402441
,gini,40,50,0.7020928711576193
,gini,40,100,0.7057989971659037
,gini,40,200,0.7075430564639197
,gini,60,50,0.7055264879005887
,gini,60,100,0.7090146064966208
,gini,60,200,0.7093961194680619
,entropy,20,50,0.6180510137344669
,entropy,20,100,0.6217571397427513
,entropy,20,200,0.6235011990407674
,entropy,40,50,0.7040549378678875
,entropy,40,100,0.7067800305210378
,entropy,40,200,0.7081970787006758
,entropy,60,50,0.7054174841944626
,entropy,60,100,0.7063985175495967
,entropy,60,200,0.709123610202747
Accuracy,Accuracy With Tolerance,Precision,Recall,F1
0.777027027027027,0.8914559721011334,0.815592622480643,0.7040476312999933,0.742147889247299
